chr	strand	coord	tottag	UPA_start	UPA_end	nPA	maxtag	ftr	gene_type	ftr_start	ftr_end	gene	gene_start	gene_end	gene_stop_codon	upstream_id	upstream_start	upstream_end	downstream_id	downstream_start	downstream_end	three_UTR_length	three_extend	toStop	tag
268	chr10	-	27089416	1	27089416	27089416	1	1	intron	NA	27070369	27101328	16773	26980036	26988514	26980036	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
269	chr10	-	27165039	1	27165039	27165039	1	1	intron	NA	27165027	27176662	16773	26980036	26988514	26980036	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
270	chr10	-	30536785	1	30536785	30536785	1	1	intron	NA	30535245	30547656	73681	30534225	30600749	30535113	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
271	chr10	-	30618203	1	30618203	30618203	1	1	CDS	NA	30618203	30618352	66847	30608141	30618479	30608391	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
272	chr10	-	30832361	1	30832361	30832361	1	1	3UTR	NA	30832359	30833735	15214	30832359	30842801	30833736	NA	NA	NA	NA	NA	NA	1375	NA	1375	1
273	chr10	-	31332378	1	31332378	31332378	1	1	3UTR	NA	31332376	31332840	21987	31332376	31445958	31332841	NA	NA	NA	NA	NA	NA	463	NA	463	1
274	chr10	-	31641988	1	31641988	31641988	1	1	intergenic	NA	31689310	31609184	432450	31689310	32890461	31691678	432450	31689310	32890461	268291	31493193	31609184	49690	47322	NA	1
275	chr10	-	33594305	1	33594305	33594305	1	1	intron	NA	33543493	33595743	215890	33512286	33624769	33513259	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
276	chr10	-	34151390	4	34151390	34151390	4	1	3UTR	NA	NA	NA	212898	NA	NA	NA	212898	34151393	34207715	215900	34126067	34127984	826	3	826	4
277	chr10	-	37193508	1	37193508	37193508	1	1	intergenic	NA	37263394	37138920	character(0)	37263394	37263748	3074322	character(0)	37263394	37263748	17118	37133375	37138920	34119186	69886	NA	1
278	chr10	-	38116053	1	38116053	38116053	1	1	3UTR	NA	NA	NA	character(0)	NA	NA	NA	character(0)	38116245	38122061	character(0)	37452452	37452680	35041731	192	35041731	1
279	chr10	-	39118817	1	39118817	39118817	1	1	3UTR	NA	39118804	39118916	66337	39118804	39133906	39118917	NA	NA	NA	NA	NA	NA	100	NA	100	1
280	chr10	-	40033532	2	40033532	40033541	2	1	3UTR	NA	40033532	40037171	72472	40033532	40142254	40037172	NA	NA	NA	NA	NA	NA	3640	NA	3640	2
281	chr10	-	40223477	1	40223477	40223477	1	1	3UTR	NA	40223246	40223740	67239	40223246	40247002	40223741	NA	NA	NA	NA	NA	NA	264	NA	264	1
282	chr10	-	40513423	1	40513423	40513423	1	1	intergenic	NA	40565916	40350103	character(0)	40565916	40566672	3074322	character(0)	40565916	40566672	character(0)	40348508	40350103	37439101	52493	NA	1
283	chr10	-	40565659	4	40565659	40565666	4	1	3UTR	NA	NA	NA	character(0)	NA	NA	NA	character(0)	40565916	40566672	character(0)	40348508	40350103	37491337	257	37491337	4
284	chr10	-	40831621	4	40831621	40831625	4	1	3UTR	NA	40831621	40833178	71713	40831621	40883311	40833179	NA	NA	NA	NA	NA	NA	1558	NA	1558	4
285	chr10	-	41378818	1	41378818	41378818	1	1	3UTR	NA	NA	NA	character(0)	NA	NA	NA	character(0)	41378896	41380881	character(0)	41362837	41364964	38304496	78	38304496	1
286	chr10	-	41378895	1	41378895	41378895	1	1	3UTR	NA	NA	NA	character(0)	NA	NA	NA	character(0)	41378896	41380881	character(0)	41362837	41364964	38304573	1	38304573	1
287	chr10	-	41718841	4	41718841	41718846	4	1	3UTR	NA	41718840	41719694	103268	41718840	41745931	41719695	NA	NA	NA	NA	NA	NA	854	NA	854	4
288	chr10	-	41916820	1	41916820	41916820	1	1	3UTR	NA	41914990	41917061	213402	41914990	42018436	41917062	NA	NA	NA	NA	NA	NA	242	NA	242	1
289	chr10	-	42181840	15	42181840	42181849	15	1	3UTR	NA	NA	NA	56484	NA	NA	NA	56484	42181841	42276752	character(0)	42054113	42055306	14661	1	14661	15
290	chr10	-	42196466	1	42196466	42196466	1	1	3UTR	NA	42196466	42196500	56484	42181841	42276752	42196501	NA	NA	NA	NA	NA	NA	35	NA	35	1
291	chr10	-	42196733	1	42196733	42196733	1	1	CDS	NA	42196501	42197901	56484	42181841	42276752	42196501	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
292	chr10	-	42312594	1	42312594	42312594	1	1	3UTR	NA	42312585	42313490	215951	42312585	42478280	42313491	NA	NA	NA	NA	NA	NA	897	NA	897	1
293	chr10	-	43524084	1	43524084	43524084	1	1	intergenic	NA	43525133	43456501	67851	43525133	43540968	43525229	67851	43525133	43540968	character(0)	43456427	43456501	1145	1049	NA	1
294	chr10	-	43650354	1	43650354	43650354	1	1	intergenic	NA	43681001	43540994	character(0)	43681001	43687302	3074322	character(0)	43681001	43687302	67851	43533154	43540994	40576032	30647	NA	1
295	chr10	-	43950639	1	43950639	43950639	1	1	3UTR	NA	43950636	43951868	11630	43950636	44148853	43951869	NA	NA	NA	NA	NA	NA	1230	NA	1230	1
296	chr10	-	44437174	1	44437174	44437174	1	1	3UTR	NA	NA	NA	12142	NA	NA	NA	12142	44437177	44458748	character(0)	44418400	44424324	2493	3	2493	1
297	chr10	-	45376555	1	45376555	45376555	1	1	3UTR	NA	NA	NA	380669	NA	NA	NA	380669	45376620	45470201	character(0)	45297809	45298271	4510	65	4510	1
298	chr10	-	45980949	1	45980949	45980949	1	1	intergenic	NA	46658508	45816861	character(0)	46658508	46658638	3074322	character(0)	46658508	46658638	character(0)	45816747	45816861	42906627	677559	NA	1
299	chr10	-	46984242	1	46984242	46984242	1	1	intergenic	NA	47016652	46856502	character(0)	47016652	47102832	3074322	character(0)	47016652	47102832	character(0)	46856353	46856502	43909920	32410	NA	1
300	chr10	-	49270933	1	49270933	49270933	1	1	intron	NA	49244444	49272739	14806	49094833	49788766	49101108	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
301	chr10	-	52341106	1	52341106	52341106	1	1	intron	NA	52339854	52346048	94221	52335850	52349128	52336282	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
302	chr10	-	53536315	2	53536315	53536315	2	1	3UTR	NA	53536315	53537323	71567	53536315	53630439	53537324	NA	NA	NA	NA	NA	NA	1009	NA	1009	2
303	chr10	-	53536344	1	53536344	53536344	1	1	3UTR	NA	53536315	53537323	71567	53536315	53630439	53537324	NA	NA	NA	NA	NA	NA	980	NA	980	1
304	chr10	-	53904790	1	53904790	53904790	1	1	3UTR	NA	53904785	53907436	17155	53904785	54075796	53907437	NA	NA	NA	NA	NA	NA	2647	NA	2647	1
239	chr10	-	5799153	8	5799153	5799158	8	1	3UTR	NA	NA	NA	67141	NA	NA	NA	67141	5799160	5805600	64009	5360709	5551482	418	7	418	8
305	chr10	-	58234842	1	58234842	58234842	1	1	3UTR	NA	NA	NA	245263	NA	NA	NA	245263	58234848	58236701	664783	58230651	58232675	673	6	673	1
306	chr10	-	58234975	1	58234975	58234975	1	1	3UTR	NA	58234848	58235514	245263	58234848	58236701	58235515	NA	NA	NA	NA	NA	NA	540	NA	540	1
240	chr10	-	5831260	1	5831260	5831260	1	1	3UTR	NA	5825663	5832952	56533	5825663	5922386	5832953	NA	NA	NA	NA	NA	NA	1693	NA	1693	1
307	chr10	-	59446984	10	59446984	59446984	10	1	3UTR	NA	59446984	59448780	215999	59446984	59616692	59448781	NA	NA	NA	NA	NA	NA	1797	NA	1797	10
308	chr10	-	59949669	3	59949669	59949669	3	1	3UTR	NA	59949669	59950535	74747	59949669	59951834	59950536	NA	NA	NA	NA	NA	NA	867	NA	867	3
309	chr10	-	59987908	4	59987908	59987913	4	1	3UTR	NA	59987409	59988722	52717	59987409	60003135	59988723	NA	NA	NA	NA	NA	NA	815	NA	815	4
310	chr10	-	59988585	1	59988585	59988585	1	1	3UTR	NA	59987409	59988722	52717	59987409	60003135	59988723	NA	NA	NA	NA	NA	NA	138	NA	138	1
311	chr10	-	61144595	1	61144595	61144595	1	1	intron	NA	61123475	61146257	20397	61098642	61147644	61100868	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
312	chr10	-	61428491	1	61428491	61428491	1	1	3UTR	NA	61428491	61433796	13688	61428491	61452661	61433797	NA	NA	NA	NA	NA	NA	5306	NA	5306	1
313	chr10	-	62025673	1	62025673	62025673	1	1	intergenic	NA	62107655	61979108	69894	62107655	62111050	62108854	69894	62107655	62111050	12817	61838236	61979108	83181	81982	NA	1
314	chr10	-	62025893	1	62025893	62025893	1	1	intergenic	NA	62107655	61979108	69894	62107655	62111050	62108854	69894	62107655	62111050	12817	61838236	61979108	82961	81762	NA	1
315	chr10	-	62108207	30	62108207	62108213	30	1	3UTR	NA	62107655	62108853	69894	62107655	62111050	62108854	NA	NA	NA	NA	NA	NA	647	NA	647	30
316	chr10	-	62108500	1	62108500	62108500	1	1	3UTR	NA	62107655	62108853	69894	62107655	62111050	62108854	NA	NA	NA	NA	NA	NA	354	NA	354	1
317	chr10	-	62142878	1	62142878	62142878	1	1	intron	NA	62134762	62143869	69894	62107655	62111050	62108854	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
318	chr10	-	62429380	1	62429380	62429380	1	1	3UTR	NA	62429209	62429419	338359	62429209	62449738	62429420	NA	NA	NA	NA	NA	NA	40	NA	40	1
319	chr10	-	62455236	1	62455236	62455236	1	1	3UTR	NA	62455235	62456744	30930	62455235	62486598	62456745	NA	NA	NA	NA	NA	NA	1509	NA	1509	1
320	chr10	-	62455314	1	62455314	62455314	1	1	3UTR	NA	62455235	62456744	30930	62455235	62486598	62456745	NA	NA	NA	NA	NA	NA	1431	NA	1431	1
321	chr10	-	62494427	3	62494427	62494433	3	1	3UTR	NA	62493833	62494865	19073	62493833	62527451	62494866	NA	NA	NA	NA	NA	NA	439	NA	439	3
322	chr10	-	62558474	1	62558474	62558474	1	1	3UTR	NA	62558470	62559007	72320	62538626	62578440	62540030	NA	NA	NA	NA	NA	NA	18444	NA	18444	1
323	chr10	-	62582113	1	62582113	62582113	1	1	3UTR	NA	62580251	62582349	56200	62580251	62602281	62582350	NA	NA	NA	NA	NA	NA	237	NA	237	1
324	chr10	-	62636090	1	62636090	62636090	1	1	intron	NA	62634127	62639860	94213	62615895	62621512	62616238	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
325	chr10	-	63319015	7	63319015	63319020	7	1	3UTR	NA	63319005	63320635	93759	63319005	63381704	63320636	NA	NA	NA	NA	NA	NA	1621	NA	1621	7
326	chr10	-	63319977	1	63319977	63319977	1	1	3UTR	NA	63319005	63320635	93759	63319005	63381704	63320636	NA	NA	NA	NA	NA	NA	659	NA	659	1
327	chr10	-	63320485	1	63320485	63320485	1	1	3UTR	NA	63319005	63320635	93759	63319005	63381704	63320636	NA	NA	NA	NA	NA	NA	151	NA	151	1
328	chr10	-	64085649	1	64085649	64085649	1	1	intron	NA	63930268	64087847	216028	63928472	64090274	63930058	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
329	chr10	-	64539568	9	64539568	64539576	9	1	intergenic	NA	65119526	64304744	102632700	65119526	65120367	65119526	102632700	65119526	65120367	character(0)	64304637	64304744	579958	579958	NA	9
330	chr10	-	64541057	1	64541057	64541057	1	1	intergenic	NA	65119526	64304744	102632700	65119526	65120367	65119526	102632700	65119526	65120367	character(0)	64304637	64304744	578469	578469	NA	1
331	chr10	-	69336897	1	69336897	69336897	1	1	3UTR	NA	69335146	69338497	12534	69335146	69352938	69338498	NA	NA	NA	NA	NA	NA	1601	NA	1601	1
