chr	strand	coord	read_num	sample	ftr	gene_type	ftr_start	ftr_end	gene	gene_start	gene_end	gene_stop_codon	upstream_id	upstream_start	upstream_end	downstream_id	downstream_start	downstream_end	three_UTR_length	three_extend	toStop	tag
PA1842	chr10	-	116336351	SRR8798075.39283	GV1	intergenic	NA	116417861	116113917	58802	116417861	116473878	116418238	58802	116417861	116473878	619332	116111664	116113917	81887	81510	NA	1
PA1843	chr10	-	116336353	SRR8798075.53308	GV1	intergenic	NA	116417861	116113917	58802	116417861	116473878	116418238	58802	116417861	116473878	619332	116111664	116113917	81885	81508	NA	1
PA1845	chr10	-	116485164	SRR8798075.30628	GV1	3UTR	NA	116485161	116486199	72068	116485161	116581511	116486200	NA	NA	NA	NA	NA	NA	1036	NA	1036	1
PA1846	chr10	-	116485165	SRR8798075.9713	GV1	3UTR	NA	116485161	116486199	72068	116485161	116581511	116486200	NA	NA	NA	NA	NA	NA	1035	NA	1035	1
PA1850	chr10	-	116485508	SRR8798075.1317	GV1	3UTR	NA	116485161	116486199	72068	116485161	116581511	116486200	NA	NA	NA	NA	NA	NA	692	NA	692	1
PA1852	chr10	-	116485787	SRR8798075.2035	GV1	3UTR	NA	116485161	116486199	72068	116485161	116581511	116486200	NA	NA	NA	NA	NA	NA	413	NA	413	1
PA1855	chr10	-	116906774	SRR8798075.15572	GV1	3UTR	NA	116905784	116907035	216363	116905784	116950380	116907036	NA	NA	NA	NA	NA	NA	262	NA	262	1
PA1856	chr10	-	116906775	SRR8798075.22587	GV1	3UTR	NA	116905784	116907035	216363	116905784	116950380	116907036	NA	NA	NA	NA	NA	NA	261	NA	261	1
PA1857	chr10	-	117001446	SRR8798075.22738	GV1	intergenic	NA	117051001	116973208	12461	117051001	117063814	117051246	12461	117051001	117063814	character(0)	116972766	116973208	49800	49555	NA	1
PA1858	chr10	-	117001734	SRR8798075.46197	GV1	intergenic	NA	117051001	116973208	12461	117051001	117063814	117051246	12461	117051001	117063814	character(0)	116972766	116973208	49512	49267	NA	1
PA1859	chr10	-	117050997	SRR8798075.25689	GV1	3UTR	NA	NA	NA	12461	NA	NA	NA	12461	117051001	117063814	character(0)	116972766	116973208	249	4	249	1
PA1861	chr10	-	117051005	SRR8798075.11486	GV1	3UTR	NA	117051001	117051245	12461	117051001	117063814	117051246	NA	NA	NA	NA	NA	NA	241	NA	241	1
PA1869	chr10	-	117070755	SRR8798075.31036	GV1	3UTR	NA	117069427	117073928	327826	117069427	117148510	117073929	NA	NA	NA	NA	NA	NA	3174	NA	3174	1
PA1870	chr10	-	117215141	SRR8798075.4997	GV1	3UTR	NA	NA	NA	64050	NA	NA	NA	64050	117215221	117224490	character(0)	117183335	117183411	5265	80	5265	1
PA1876	chr10	-	117215217	SRR8798075.17640	GV1	3UTR	NA	NA	NA	64050	NA	NA	NA	64050	117215221	117224490	character(0)	117183335	117183411	5189	4	5189	1
PA1879	chr10	-	117215221	SRR8798075.7305	GV1	3UTR	NA	117215221	117215836	64050	117215221	117224490	117220406	NA	NA	NA	NA	NA	NA	5185	NA	5185	1
PA1880	chr10	-	117360855	SRR8798075.43075	GV1	intron	NA	117360556	117360855	432508	117344673	117376970	117355938	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA1885	chr10	-	117750621	SRR8798075.38749	GV1	3UTR	NA	117750621	117750967	103468	117750621	117792664	117774550	NA	NA	NA	NA	NA	NA	23929	NA	23929	1
PA1886	chr10	-	117750623	SRR8798075.25651	GV1	3UTR	NA	117750621	117750967	103468	117750621	117792664	117774550	NA	NA	NA	NA	NA	NA	23927	NA	23927	1
PA1888	chr10	-	117813868	SRR8798075.272	GV1	3UTR	NA	NA	NA	215449	NA	NA	NA	215449	117813871	117846035	character(0)	117798459	117798765	3506	3	3506	1
PA1892	chr10	-	117814543	SRR8798075.30861	GV1	3UTR	NA	117813871	117815780	215449	117813871	117846035	117817374	NA	NA	NA	NA	NA	NA	2831	NA	2831	1
PA1893	chr10	-	117814602	SRR8798075.47896	GV1	3UTR	NA	117813871	117815780	215449	117813871	117846035	117817374	NA	NA	NA	NA	NA	NA	2772	NA	2772	1
PA1894	chr10	-	118187827	SRR8798075.9933	GV1	intergenic	NA	118232128	118165162	character(0)	118232128	118233531	3074322	character(0)	118232128	118233531	character(0)	118163985	118165162	115113505	44301	NA	1
PA1899	chr10	-	119201974	SRR8798075.2878	GV1	3UTR	NA	119199255	119202980	71902	119199255	119240055	119202981	NA	NA	NA	NA	NA	NA	1007	NA	1007	1
PA1900	chr10	-	119202522	SRR8798075.35873	GV1	3UTR	NA	119199255	119202980	71902	119199255	119240055	119202981	NA	NA	NA	NA	NA	NA	459	NA	459	1
PA1901	chr10	-	119202524	SRR8798075.22005	GV1	3UTR	NA	119199255	119202980	71902	119199255	119240055	119202981	NA	NA	NA	NA	NA	NA	457	NA	457	1
PA1911	chr10	-	119454694	SRR8798075.1180	GV1	exon	NA	119454681	119454830	character(0)	3073253	3074322	3074322	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA1916	chr10	-	120084539	SRR8798075.44423	GV1	3UTR	NA	120083608	120084811	117599	120083608	120112987	120084812	NA	NA	NA	NA	NA	NA	273	NA	273	1
PA1917	chr10	-	120361275	SRR8798075.43934	GV1	3UTR	NA	120361275	120364251	15364	120361275	120476469	120364252	NA	NA	NA	NA	NA	NA	2977	NA	2977	1
PA1918	chr10	-	120361276	SRR8798075.56087	GV1	3UTR	NA	120361275	120364251	15364	120361275	120476469	120364252	NA	NA	NA	NA	NA	NA	2976	NA	2976	1
PA980	chr10	-	12133290	SRR8798075.60764	GV1	intergenic	NA	12323421	12031440	character(0)	12323421	12324661	3074322	character(0)	12323421	12324661	character(0)	12020860	12031440	9058968	190131	NA	1
PA1921	chr10	-	121410350	SRR8798075.1208	GV1	3UTR	NA	121410350	121412935	192678	121410350	121476347	121412936	NA	NA	NA	NA	NA	NA	2586	NA	2586	1
PA1926	chr10	-	121410354	SRR8798075.5970	GV1	3UTR	NA	121410350	121412935	192678	121410350	121476347	121412936	NA	NA	NA	NA	NA	NA	2582	NA	2582	1
PA1931	chr10	-	121546455	SRR8798075.41258	GV1	3UTR	NA	121546455	121547136	56480	121546455	121586787	121547137	NA	NA	NA	NA	NA	NA	682	NA	682	1
PA1932	chr10	-	121640798	SRR8798075.13646	GV1	intergenic	NA	121703663	121626332	character(0)	121703663	121705035	3074322	character(0)	121703663	121705035	73192	121587380	121626332	118566476	62865	NA	1
PA1934	chr10	-	122068985	SRR8798075.43030	GV1	3UTR	NA	NA	NA	character(0)	NA	NA	NA	character(0)	122069136	122069451	117600	121780991	122047315	118994663	151	118994663	1
PA1938	chr10	-	122081260	SRR8798075.55489	GV1	3UTR	NA	122078114	122081271	216395	122078114	122097371	122081272	NA	NA	NA	NA	NA	NA	12	NA	12	1
PA1940	chr10	-	122438932	SRR8798075.53162	GV1	intron	NA	122436515	122546397	character(0)	3073253	3074322	3074322	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA1941	chr10	-	122818544	SRR8798075.27649	GV1	intergenic	NA	122985074	122792483	387251	122985074	122985831	122985074	387251	122985074	122985831	character(0)	122792055	122792483	166530	166530	NA	1
PA1942	chr10	-	122992060	SRR8798075.39724	GV1	3UTR	NA	122992060	122995669	67074	122992060	123076505	122995670	NA	NA	NA	NA	NA	NA	3610	NA	3610	1
PA1943	chr10	-	122995071	SRR8798075.558	GV1	3UTR	NA	122992060	122995669	67074	122992060	123076505	122995670	NA	NA	NA	NA	NA	NA	599	NA	599	1
PA1947	chr10	-	123111735	SRR8798075.7939	GV1	3UTR	NA	123105006	123113504	14479	123105006	123196995	123113505	NA	NA	NA	NA	NA	NA	1770	NA	1770	1
PA1957	chr10	-	123111737	SRR8798075.39155	GV1	3UTR	NA	123105006	123113504	14479	123105006	123196995	123113505	NA	NA	NA	NA	NA	NA	1768	NA	1768	1
PA1958	chr10	-	123111739	SRR8798075.50281	GV1	3UTR	NA	123105006	123113504	14479	123105006	123196995	123113505	NA	NA	NA	NA	NA	NA	1766	NA	1766	1
PA1959	chr10	-	123112093	SRR8798075.4340	GV1	3UTR	NA	123105006	123113504	14479	123105006	123196995	123113505	NA	NA	NA	NA	NA	NA	1412	NA	1412	1
PA1960	chr10	-	123113228	SRR8798075.33323	GV1	3UTR	NA	123105006	123113504	14479	123105006	123196995	123113505	NA	NA	NA	NA	NA	NA	277	NA	277	1
PA1961	chr10	-	123113239	SRR8798075.33012	GV1	3UTR	NA	123105006	123113504	14479	123105006	123196995	123113505	NA	NA	NA	NA	NA	NA	266	NA	266	1
PA1962	chr10	-	123113244	SRR8798075.4921	GV1	3UTR	NA	123105006	123113504	14479	123105006	123196995	123113505	NA	NA	NA	NA	NA	NA	261	NA	261	1
PA1965	chr10	-	123113245	SRR8798075.19501	GV1	3UTR	NA	123105006	123113504	14479	123105006	123196995	123113505	NA	NA	NA	NA	NA	NA	260	NA	260	1
PA1967	chr10	-	123113252	SRR8798075.983	GV1	3UTR	NA	123105006	123113504	14479	123105006	123196995	123113505	NA	NA	NA	NA	NA	NA	253	NA	253	1
PA1969	chr10	-	123953657	SRR8798075.12088	GV1	intergenic	NA	124821112	123891898	character(0)	124821112	124845481	3074322	character(0)	124821112	124845481	character(0)	123890803	123891898	120879335	867455	NA	1
PA1970	chr10	-	124627804	SRR8798075.13114	GV1	intergenic	NA	124821112	123891898	character(0)	124821112	124845481	3074322	character(0)	124821112	124845481	character(0)	123890803	123891898	121553482	193308	NA	1
PA1972	chr10	-	125133227	SRR8798075.26719	GV1	intergenic	NA	125219270	124857492	20503	125219270	125328963	125228012	20503	125219270	125328963	character(0)	124855213	124857492	94785	86043	NA	1
PA1974	chr10	-	126887248	SRR8798075.4361	GV1	intron	NA	126868726	126891639	68876	126868427	126901355	126868657	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA1982	chr10	-	126887253	SRR8798075.46238	GV1	3UTR	NA	126887249	126887490	68876	126868427	126901355	126868657	NA	NA	NA	NA	NA	NA	18596	NA	18596	1
PA1983	chr10	-	127022337	SRR8798075.38676	GV1	3UTR	NA	127022332	127022519	66399	127011572	127030803	127011600	NA	NA	NA	NA	NA	NA	10737	NA	10737	1
PA1984	chr10	-	127022343	SRR8798075.3763	GV1	3UTR	NA	127022332	127022519	66399	127011572	127030803	127011600	NA	NA	NA	NA	NA	NA	10743	NA	10743	1
PA1991	chr10	-	127095650	SRR8798075.98	GV1	3UTR	NA	127095650	127096246	216440	127095650	127121125	127096247	NA	NA	NA	NA	NA	NA	597	NA	597	1
PA1999	chr10	-	127281956	SRR8798075.18348	GV1	3UTR	NA	127281956	127282177	110962	127281956	127283668	127282833	NA	NA	NA	NA	NA	NA	877	NA	877	1
PA2000	chr10	-	127305422	SRR8798075.48143	GV1	CDS	NA	127305422	127305625	216443	127296221	127311786	127296294	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA2001	chr10	-	127517317	SRR8798075.27160	GV1	3UTR	NA	127517123	127517788	108037	127517123	127522386	127517789	NA	NA	NA	NA	NA	NA	472	NA	472	1
PA2003	chr10	-	127660918	SRR8798075.58311	GV1	3UTR	NA	127660918	127661669	17937	127660918	127666710	127661670	NA	NA	NA	NA	NA	NA	752	NA	752	1
PA2004	chr10	-	128509964	SRR8798075.52463	GV1	3UTR	NA	NA	NA	23943	NA	NA	NA	23943	128509965	128525870	216459	128494157	128498685	656	1	656	1
PA2009	chr10	-	128557768	SRR8798075.36378	GV1	3UTR	NA	128557766	128558905	18813	128557766	128565934	128558906	NA	NA	NA	NA	NA	NA	1138	NA	1138	1
PA2011	chr10	-	128630843	SRR8798075.20049	GV1	3UTR	NA	128630843	128634047	22781	128630843	128645991	128634048	NA	NA	NA	NA	NA	NA	3205	NA	3205	1
PA2014	chr10	-	128697938	SRR8798075.32766	GV1	3UTR	NA	NA	NA	12566	NA	NA	NA	12566	128697939	128705003	19344	128677175	128696264	1168	1	1168	1
PA2016	chr10	-	128854212	SRR8798075.35487	GV1	intergenic	NA	128882295	128821645	14561	128882295	128891718	128885106	14561	128882295	128891718	66844	128818723	128821645	30894	28083	NA	1
PA991	chr10	-	13652716	SRR8798075.62063	GV1	3UTR	NA	13652451	13652901	66253	13647054	13868980	13647669	NA	NA	NA	NA	NA	NA	5047	NA	5047	1
PA992	chr10	-	14655333	SRR8798075.5322	GV1	3UTR	NA	14654755	14655699	66201	14654755	14705560	14655700	NA	NA	NA	NA	NA	NA	367	NA	367	1
PA995	chr10	-	14655336	SRR8798075.26672	GV1	3UTR	NA	14654755	14655699	66201	14654755	14705560	14655700	NA	NA	NA	NA	NA	NA	364	NA	364	1
PA997	chr10	-	14657614	SRR8798075.11413	GV1	intron	NA	14655846	14661065	66201	14654755	14705560	14655700	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA998	chr10	-	14851500	SRR8798075.4622	GV1	intergenic	NA	15227571	14760720	character(0)	15227571	15228048	3074322	character(0)	15227571	15228048	character(0)	14758635	14760720	11777178	376071	NA	1
PA999	chr10	-	17721880	SRR8798075.46791	GV1	intergenic	NA	17790522	17658513	character(0)	17790522	17795328	3074322	character(0)	17790522	17795328	character(0)	17562743	17658513	14647558	68642	NA	1
PA1000	chr10	-	17852806	SRR8798075.34121	GV1	intergenic	NA	17868612	17799921	380629	17868612	17915222	17869633	380629	17868612	17915222	character(0)	17793106	17799921	16827	15806	NA	1
PA1003	chr10	-	18335444	SRR8798075.63427	GV1	3UTR	NA	NA	NA	character(0)	NA	NA	NA	character(0)	18336121	18337241	character(0)	18302669	18303062	15261122	677	15261122	1
PA1004	chr10	-	18335642	SRR8798075.1047	GV1	3UTR	NA	NA	NA	character(0)	NA	NA	NA	character(0)	18336121	18337241	character(0)	18302669	18303062	15261320	479	15261320	1
PA1005	chr10	-	18335647	SRR8798075.7573	GV1	3UTR	NA	NA	NA	character(0)	NA	NA	NA	character(0)	18336121	18337241	character(0)	18302669	18303062	15261325	474	15261325	1
PA1010	chr10	-	18634152	SRR8798075.1618	GV1	intron	NA	18630927	18634762	215821	18581839	18743949	18589581	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA1013	chr10	-	20322981	SRR8798075.10088	GV1	intergenic	NA	20365010	20312294	character(0)	20365010	20365437	3074322	character(0)	20365010	20365437	character(0)	20310506	20312294	17248659	42029	NA	1
PA1014	chr10	-	22148489	SRR8798075.38964	GV1	CDS	NA	22148489	22149012	319887	22113050	22148819	22113050	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA1019	chr10	-	23830476	SRR8798075.11590	GV1	intergenic	NA	23984609	23787275	215855	23984609	23985646	23984609	215855	23984609	23985646	20042	23785183	23787275	154133	154133	NA	1
PA1022	chr10	-	24870061	SRR8798075.36326	GV1	intergenic	NA	24915221	24842823	11846	24915221	24927484	24915610	11846	24915221	24927484	209558	24808151	24842823	45549	45160	NA	1
PA1023	chr10	-	25169090	SRR8798075.31183	GV1	3UTR	NA	25169090	25171051	432442	25169090	25200158	25171052	NA	NA	NA	NA	NA	NA	1962	NA	1962	1
PA1024	chr10	-	25219055	SRR8798075.4858	GV1	intron	NA	25171249	25220610	432442	25169090	25200158	25171052	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA1025	chr10	-	25279329	SRR8798075.39458	GV1	3UTR	NA	25279329	25279624	432442	25169090	25200158	25171052	NA	NA	NA	NA	NA	NA	108277	NA	108277	1
PA1028	chr10	-	26793754	SRR8798075.1222	GV1	intergenic	NA	26980036	26742556	16773	26980036	26988514	26980036	16773	26980036	26988514	character(0)	26742079	26742556	186282	186282	NA	1
PA1029	chr10	-	27089416	SRR8798075.7470	GV1	intron	NA	27070369	27101328	16773	26980036	26988514	26980036	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA1030	chr10	-	27165039	SRR8798075.3635	GV1	intron	NA	27165027	27176662	16773	26980036	26988514	26980036	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA1038	chr10	-	30536785	SRR8798075.21861	GV1	intron	NA	30535245	30547656	73681	30534225	30600749	30535113	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA1039	chr10	-	30618203	SRR8798075.59657	GV1	CDS	NA	30618203	30618352	66847	30608141	30618479	30608391	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA1040	chr10	-	30832361	SRR8798075.11819	GV1	3UTR	NA	30832359	30833735	15214	30832359	30842801	30833736	NA	NA	NA	NA	NA	NA	1375	NA	1375	1
PA1041	chr10	-	31332378	SRR8798075.29729	GV1	3UTR	NA	31332376	31332840	21987	31332376	31445958	31332841	NA	NA	NA	NA	NA	NA	463	NA	463	1
PA1051	chr10	-	31641988	SRR8798075.19174	GV1	intergenic	NA	31689310	31609184	432450	31689310	32890461	31691678	432450	31689310	32890461	268291	31493193	31609184	49690	47322	NA	1
PA1056	chr10	-	33594305	SRR8798075.33920	GV1	intron	NA	33543493	33595743	215890	33512286	33624769	33513259	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA1061	chr10	-	34151390	SRR8798075.1705	GV1	3UTR	NA	NA	NA	212898	NA	NA	NA	212898	34151393	34207715	215900	34126067	34127984	826	3	826	1
PA1076	chr10	-	37193508	SRR8798075.45388	GV1	intergenic	NA	37263394	37138920	character(0)	37263394	37263748	3074322	character(0)	37263394	37263748	17118	37133375	37138920	34119186	69886	NA	1
PA1077	chr10	-	38116053	SRR8798075.5980	GV1	3UTR	NA	NA	NA	character(0)	NA	NA	NA	character(0)	38116245	38122061	character(0)	37452452	37452680	35041731	192	35041731	1
PA1078	chr10	-	39118817	SRR8798075.56151	GV1	3UTR	NA	39118804	39118916	66337	39118804	39133906	39118917	NA	NA	NA	NA	NA	NA	100	NA	100	1
PA1079	chr10	-	40033532	SRR8798075.53189	GV1	3UTR	NA	40033532	40037171	72472	40033532	40142254	40037172	NA	NA	NA	NA	NA	NA	3640	NA	3640	1
PA1080	chr10	-	40033541	SRR8798075.35729	GV1	3UTR	NA	40033532	40037171	72472	40033532	40142254	40037172	NA	NA	NA	NA	NA	NA	3631	NA	3631	1
PA1083	chr10	-	40223477	SRR8798075.36162	GV1	3UTR	NA	40223246	40223740	67239	40223246	40247002	40223741	NA	NA	NA	NA	NA	NA	264	NA	264	1
PA1085	chr10	-	40513423	SRR8798075.3914	GV1	intergenic	NA	40565916	40350103	character(0)	40565916	40566672	3074322	character(0)	40565916	40566672	character(0)	40348508	40350103	37439101	52493	NA	1
PA1086	chr10	-	40565659	SRR8798075.27498	GV1	3UTR	NA	NA	NA	character(0)	NA	NA	NA	character(0)	40565916	40566672	character(0)	40348508	40350103	37491337	257	37491337	1
PA1087	chr10	-	40565666	SRR8798075.20927	GV1	3UTR	NA	NA	NA	character(0)	NA	NA	NA	character(0)	40565916	40566672	character(0)	40348508	40350103	37491344	250	37491344	1
