read_num chr strand coord
SRR8798075.45134 chr10 + 17725656
SRR8798075.52342 chr10 + 17725642
SRR8798075.778 chr10 + 17725656
SRR8798075.4716 chr10 + 18125138
SRR8798075.26782 chr10 + 18125144
SRR8798075.28647 chr10 + 18125115
SRR8798075.35420 chr10 + 18125133
SRR8798075.36850 chr10 + 18125137
SRR8798075.53767 chr10 + 18125131
SRR8798075.60151 chr10 + 18125144
SRR8798075.49687 chr10 + 18230352
SRR8798075.61893 chr10 + 18533883
SRR8798075.31621 chr10 + 18533883
SRR8798075.60897 chr10 + 18533877
SRR8798075.8196 chr10 + 18533892
SRR8798075.18697 chr10 + 18533892
SRR8798075.55286 chr10 + 18533883
SRR8798075.11119 chr10 + 18588459
SRR8798075.30366 chr10 + 18837997
SRR8798075.41848 chr10 + 18837997
SRR8798075.47463 chr10 + 18839346
SRR8798075.50064 chr10 + 19012476
SRR8798075.40618 chr10 + 19291127
SRR8798075.40604 chr10 + 19291121
SRR8798075.3282 chr10 + 19291127
SRR8798075.57000 chr10 + 20108845
SRR8798075.25451 chr10 + 20142306
SRR8798075.57390 chr10 + 20142302
SRR8798075.23440 chr10 + 20208947
SRR8798075.53083 chr10 + 20208947
SRR8798075.6550 chr10 + 20208947
SRR8798075.44054 chr10 + 20208937
SRR8798075.43571 chr10 + 20208917
SRR8798075.59230 chr10 + 20208947
SRR8798075.18770 chr10 + 20248448
SRR8798075.21515 chr10 + 20281522
SRR8798075.26969 chr10 + 20342644
SRR8798075.18239 chr10 + 20342501
SRR8798075.22310 chr10 + 20361308
SRR8798075.45596 chr10 + 20361304
SRR8798075.57108 chr10 + 20361308
SRR8798075.57530 chr10 + 20361304
SRR8798075.43667 chr10 + 20361270
SRR8798075.2378 chr10 + 20361308
SRR8798075.23898 chr10 + 20361304
SRR8798075.56999 chr10 + 20361260
SRR8798075.54356 chr10 + 20361657
SRR8798075.22051 chr10 + 21311199
SRR8798075.13714 chr10 + 21368782
SRR8798075.48654 chr10 + 21368889
SRR8798075.11527 chr10 + 21368788
SRR8798075.34888 chr10 + 22346145
SRR8798075.52393 chr10 + 22346144
SRR8798075.7972 chr10 + 22371627
SRR8798075.10588 chr10 + 22374139
SRR8798075.3832 chr10 + 24188961
SRR8798075.10337 chr10 + 24913457
SRR8798075.12795 chr10 + 24913911
SRR8798075.59770 chr10 + 24913240
SRR8798075.59894 chr10 + 25306081
SRR8798075.12317 chr10 + 25306436
SRR8798075.13364 chr10 + 25523515
SRR8798075.57657 chr10 + 25523519
SRR8798075.59707 chr10 + 25523515
SRR8798075.14070 chr10 + 25523519
SRR8798075.58236 chr10 + 25523515
SRR8798075.29903 chr10 + 25523519
SRR8798075.2240 chr10 + 25835551
SRR8798075.16928 chr10 + 25835379
SRR8798075.61509 chr10 + 25835551
SRR8798075.3309 chr10 + 26742892
SRR8798075.30050 chr10 + 26742892
SRR8798075.39934 chr10 + 26742892
SRR8798075.41305 chr10 + 26742998
SRR8798075.31225 chr10 + 26742889
SRR8798075.50729 chr10 + 26742890
SRR8798075.36543 chr10 + 26742892
SRR8798075.61814 chr10 + 26918551
SRR8798075.28657 chr10 + 26918648
SRR8798075.49394 chr10 + 29798944
SRR8798075.24443 chr10 + 29798860
SRR8798075.35935 chr10 + 29798947
SRR8798075.15731 chr10 + 30013391
SRR8798075.61335 chr10 + 30017331
SRR8798075.23892 chr10 + 30374784
SRR8798075.63685 chr10 + 31251043
SRR8798075.9363 chr10 + 31251043
SRR8798075.47061 chr10 + 31251043
SRR8798075.27283 chr10 + 31251043
SRR8798075.36981 chr10 + 31251043
SRR8798075.28537 chr10 + 31251043
SRR8798075.17735 chr10 + 31328187
SRR8798075.12075 chr10 + 31430233
SRR8798075.29823 chr10 + 31433506
SRR8798075.13487 chr10 + 31433506
SRR8798075.5770 chr10 + 31433835
SRR8798075.25712 chr10 + 34103405
SRR8798075.37466 chr10 + 34109815
SRR8798075.60574 chr10 + 34109803
SRR8798075.58718 chr10 + 34284886
SRR8798075.51650 chr10 + 34284886
SRR8798075.2028 chr10 + 36596832
SRR8798075.20340 chr10 + 36596842
SRR8798075.22713 chr10 + 36596842
SRR8798075.35916 chr10 + 36596842
SRR8798075.45209 chr10 + 36596842
SRR8798075.47640 chr10 + 36596383
SRR8798075.50051 chr10 + 36596834
SRR8798075.57998 chr10 + 36596841
SRR8798075.58353 chr10 + 36596839
SRR8798075.31173 chr10 + 36596842
SRR8798075.14500 chr10 + 36596842
SRR8798075.49348 chr10 + 36596828
SRR8798075.9394 chr10 + 36596842
SRR8798075.31989 chr10 + 36596839
SRR8798075.59293 chr10 + 36596839
SRR8798075.5850 chr10 + 36596839
SRR8798075.4163 chr10 + 36596827
SRR8798075.10129 chr10 + 36596834
SRR8798075.15605 chr10 + 36596842
SRR8798075.39828 chr10 + 36596347
SRR8798075.41063 chr10 + 36596842
SRR8798075.3654 chr10 + 36596839
SRR8798075.24730 chr10 + 36596842
SRR8798075.45969 chr10 + 36596834
SRR8798075.44964 chr10 + 36596839
SRR8798075.22096 chr10 + 37001838
SRR8798075.59992 chr10 + 37001894
SRR8798075.9538 chr10 + 39110181
SRR8798075.10907 chr10 + 39565381
SRR8798075.12699 chr10 + 39564426
SRR8798075.17340 chr10 + 39564417
SRR8798075.22751 chr10 + 39564423
SRR8798075.23472 chr10 + 39564423
SRR8798075.24572 chr10 + 39564423
SRR8798075.30111 chr10 + 39564423
SRR8798075.31132 chr10 + 39565381
SRR8798075.40216 chr10 + 39565381
SRR8798075.40303 chr10 + 39564423
SRR8798075.46373 chr10 + 39564423
SRR8798075.31219 chr10 + 39564423
SRR8798075.41146 chr10 + 39564426
SRR8798075.9572 chr10 + 39564422
SRR8798075.30909 chr10 + 39875198
SRR8798075.45633 chr10 + 40204227
SRR8798075.35865 chr10 + 40549877
SRR8798075.38168 chr10 + 41465580
SRR8798075.15659 chr10 + 41465517
SRR8798075.22186 chr10 + 41530058
SRR8798075.27260 chr10 + 41529044
SRR8798075.23333 chr10 + 41530550
SRR8798075.37931 chr10 + 41531042
SRR8798075.63395 chr10 + 41530473
SRR8798075.33490 chr10 + 41531042
SRR8798075.55100 chr10 + 41531043
SRR8798075.18488 chr10 + 41531042
SRR8798075.30265 chr10 + 41531042
SRR8798075.7538 chr10 + 41531042
SRR8798075.61933 chr10 + 41531036
SRR8798075.13545 chr10 + 41531042
SRR8798075.9241 chr10 + 41531039
SRR8798075.2652 chr10 + 42535370
SRR8798075.7529 chr10 + 42535370
SRR8798075.15296 chr10 + 42535370
SRR8798075.17983 chr10 + 42535370
SRR8798075.27273 chr10 + 42535370
SRR8798075.30385 chr10 + 42535370
SRR8798075.34249 chr10 + 42535370
SRR8798075.35007 chr10 + 42535370
SRR8798075.53358 chr10 + 42535370
SRR8798075.55770 chr10 + 42535370
SRR8798075.28237 chr10 + 42535370
SRR8798075.49240 chr10 + 42535370
SRR8798075.12091 chr10 + 42830392
SRR8798075.20757 chr10 + 43440602
SRR8798075.21459 chr10 + 43440602
SRR8798075.4075 chr10 + 43524609
SRR8798075.15967 chr10 + 43524644
SRR8798075.40493 chr10 + 43524644
SRR8798075.53787 chr10 + 43524644
SRR8798075.63674 chr10 + 43524644
SRR8798075.5723 chr10 + 43524644
SRR8798075.40678 chr10 + 43524644
SRR8798075.4832 chr10 + 43524644
SRR8798075.36790 chr10 + 43524644
SRR8798075.51123 chr10 + 43524644
SRR8798075.59868 chr10 + 43524644
SRR8798075.25056 chr10 + 43524644
SRR8798075.40582 chr10 + 44031489
SRR8798075.326 chr10 + 44219587
SRR8798075.2277 chr10 + 44219587
SRR8798075.6260 chr10 + 44219587
SRR8798075.9968 chr10 + 44219587
SRR8798075.12282 chr10 + 44219649
SRR8798075.17456 chr10 + 44219587
SRR8798075.24630 chr10 + 44219587
SRR8798075.26734 chr10 + 44219587
SRR8798075.39558 chr10 + 44219587
SRR8798075.42013 chr10 + 44219649
SRR8798075.52417 chr10 + 44219644
SRR8798075.56507 chr10 + 44219587
SRR8798075.57653 chr10 + 44219649
SRR8798075.12237 chr10 + 44219584
SRR8798075.19275 chr10 + 44219646
SRR8798075.24396 chr10 + 44364296
SRR8798075.56769 chr10 + 44364296
SRR8798075.57697 chr10 + 44363625
SRR8798075.61753 chr10 + 44364296
SRR8798075.6830 chr10 + 44363639
SRR8798075.43419 chr10 + 44364296
SRR8798075.59489 chr10 + 44363625
SRR8798075.20253 chr10 + 44364290
SRR8798075.2231 chr10 + 45158995
SRR8798075.2826 chr10 + 45158996
SRR8798075.4365 chr10 + 45158998
SRR8798075.50635 chr10 + 45158995
SRR8798075.57958 chr10 + 45158993
SRR8798075.58967 chr10 + 45158976
SRR8798075.59789 chr10 + 45158998
SRR8798075.62563 chr10 + 45158996
SRR8798075.5208 chr10 + 45158998
SRR8798075.40876 chr10 + 45183388
SRR8798075.26414 chr10 + 45196102
SRR8798075.9634 chr10 + 45569155
SRR8798075.15568 chr10 + 45569163
SRR8798075.22120 chr10 + 45569163
SRR8798075.23393 chr10 + 45569160
SRR8798075.36352 chr10 + 45569163
SRR8798075.53283 chr10 + 45569163
SRR8798075.49449 chr10 + 45569163
SRR8798075.46087 chr10 + 45569160
SRR8798075.28145 chr10 + 45569163
SRR8798075.55369 chr10 + 45569160
SRR8798075.18717 chr10 + 45569161
SRR8798075.18125 chr10 + 45569163
SRR8798075.35017 chr10 + 45569160
SRR8798075.19820 chr10 + 45569160
SRR8798075.36715 chr10 + 45569163
SRR8798075.56047 chr10 + 45569163
SRR8798075.7244 chr10 + 45569163
SRR8798075.16702 chr10 + 45569163
SRR8798075.56734 chr10 + 45569163
SRR8798075.55256 chr10 + 45569160
SRR8798075.41595 chr10 + 45569160
SRR8798075.61474 chr10 + 45569163
SRR8798075.50923 chr10 + 45712267
SRR8798075.61484 chr10 + 45876089
SRR8798075.4857 chr10 + 45876089
SRR8798075.48103 chr10 + 45876089
SRR8798075.31398 chr10 + 46538241
SRR8798075.34350 chr10 + 50308506
SRR8798075.48848 chr10 + 50851196
SRR8798075.56470 chr10 + 50851207
SRR8798075.58601 chr10 + 50851207
SRR8798075.32181 chr10 + 52320462
SRR8798075.7681 chr10 + 52320274
SRR8798075.26463 chr10 + 52320278
SRR8798075.34500 chr10 + 52320278
SRR8798075.43852 chr10 + 52320278
SRR8798075.28510 chr10 + 52320457
SRR8798075.26173 chr10 + 52321378
SRR8798075.47042 chr10 + 52437995
SRR8798075.8522 chr10 + 52438009
SRR8798075.19581 chr10 + 52439200
SRR8798075.22990 chr10 + 53511992
SRR8798075.1270 chr10 + 53608057
SRR8798075.7756 chr10 + 53608170
SRR8798075.9090 chr10 + 53608059
SRR8798075.16360 chr10 + 53608053
SRR8798075.19470 chr10 + 53608059
SRR8798075.20893 chr10 + 53608167
SRR8798075.26653 chr10 + 53608167
SRR8798075.38132 chr10 + 53608372
SRR8798075.41650 chr10 + 53608163
SRR8798075.44927 chr10 + 53608167
SRR8798075.45876 chr10 + 53608057
SRR8798075.49605 chr10 + 53608059
SRR8798075.57790 chr10 + 53608172
SRR8798075.58715 chr10 + 53608164
SRR8798075.59109 chr10 + 53608170
SRR8798075.62081 chr10 + 53608059
SRR8798075.7349 chr10 + 53608059
SRR8798075.32733 chr10 + 53608167
SRR8798075.58038 chr10 + 53608059
SRR8798075.997 chr10 + 53608164
SRR8798075.42336 chr10 + 53608272
SRR8798075.62269 chr10 + 53609746
SRR8798075.23156 chr10 + 56498406
SRR8798075.47381 chr10 + 56498406
SRR8798075.50716 chr10 + 56498406
SRR8798075.55709 chr10 + 56498406
SRR8798075.991 chr10 + 56498406
SRR8798075.24100 chr10 + 56498406
SRR8798075.1008 chr10 + 56498406
SRR8798075.27068 chr10 + 57303073
SRR8798075.45431 chr10 + 57513140
SRR8798075.57887 chr10 + 57710415
SRR8798075.12313 chr10 + 58222427
SRR8798075.5081 chr10 + 58494168
SRR8798075.46989 chr10 + 58576244
SRR8798075.24459 chr10 + 59111347
SRR8798075.12514 chr10 + 59371961
SRR8798075.18033 chr10 + 59371956
SRR8798075.22437 chr10 + 59371961
SRR8798075.50720 chr10 + 59371961
SRR8798075.19100 chr10 + 59371961
SRR8798075.9940 chr10 + 59371961
SRR8798075.52770 chr10 + 59371954
SRR8798075.46995 chr10 + 59371961
SRR8798075.37668 chr10 + 59371956
SRR8798075.9200 chr10 + 59396752
SRR8798075.43021 chr10 + 59396765
SRR8798075.14571 chr10 + 59396057
SRR8798075.21435 chr10 + 59396765
SRR8798075.28293 chr10 + 59396765
SRR8798075.56102 chr10 + 59396752
SRR8798075.10260 chr10 + 59396765
SRR8798075.3245 chr10 + 59396765
SRR8798075.20180 chr10 + 59396765
SRR8798075.25945 chr10 + 59396765
SRR8798075.48479 chr10 + 59396765
SRR8798075.41340 chr10 + 59758271
SRR8798075.45161 chr10 + 59758260
SRR8798075.23254 chr10 + 59864128
SRR8798075.27538 chr10 + 59864132
SRR8798075.2658 chr10 + 60099984
SRR8798075.26996 chr10 + 60099986
SRR8798075.44034 chr10 + 60302598
SRR8798075.8087 chr10 + 61094329
SRR8798075.13302 chr10 + 61094326
SRR8798075.14891 chr10 + 61674168
SRR8798075.18944 chr10 + 61674168
SRR8798075.55461 chr10 + 61674168
SRR8798075.47969 chr10 + 61674168
SRR8798075.31917 chr10 + 61693292
SRR8798075.57824 chr10 + 61702767
SRR8798075.45630 chr10 + 62072622
SRR8798075.61749 chr10 + 62702825
SRR8798075.55459 chr10 + 62702836
SRR8798075.37162 chr10 + 62839164
SRR8798075.25962 chr10 + 62974184
SRR8798075.19056 chr10 + 63058813
SRR8798075.28201 chr10 + 63058234
SRR8798075.19641 chr10 + 63317707
SRR8798075.14913 chr10 + 63342337
SRR8798075.7018 chr10 + 63855888
SRR8798075.44495 chr10 + 65003847
SRR8798075.45171 chr10 + 65002968
SRR8798075.57535 chr10 + 65003666
SRR8798075.35178 chr10 + 68028200
SRR8798075.6204 chr10 + 68028066
SRR8798075.58464 chr10 + 68029929
SRR8798075.51249 chr10 + 68029917
SRR8798075.40928 chr10 + 69270873
SRR8798075.25352 chr10 + 69289905
SRR8798075.11383 chr10 + 69291791
SRR8798075.5730 chr10 + 69291791
SRR8798075.51944 chr10 + 70005568
SRR8798075.19392 chr10 + 70189600
SRR8798075.22573 chr10 + 70193200
SRR8798075.62632 chr10 + 70193200
SRR8798075.35557 chr10 + 70193200
SRR8798075.48122 chr10 + 70193200
SRR8798075.14364 chr10 + 70193200
SRR8798075.16143 chr10 + 70193191
SRR8798075.2452 chr10 + 70193195
SRR8798075.44800 chr10 + 70193200
SRR8798075.27804 chr10 + 70193200
SRR8798075.50761 chr10 + 70193200
SRR8798075.14269 chr10 + 70193127
SRR8798075.20237 chr10 + 70193200
SRR8798075.55574 chr10 + 70193196
SRR8798075.47552 chr10 + 70193200
SRR8798075.9223 chr10 + 70193189
SRR8798075.15457 chr10 + 70193191
SRR8798075.12485 chr10 + 70193200
SRR8798075.13181 chr10 + 70193170
SRR8798075.21451 chr10 + 70193197
SRR8798075.42133 chr10 + 70193200
SRR8798075.17551 chr10 + 70193200
SRR8798075.35251 chr10 + 70193191
SRR8798075.10517 chr10 + 70558732
SRR8798075.40826 chr10 + 70558732
SRR8798075.15183 chr10 + 70558732
SRR8798075.35655 chr10 + 70631671
SRR8798075.37174 chr10 + 70635565
SRR8798075.12814 chr10 + 71384155
SRR8798075.13709 chr10 + 71385882
SRR8798075.62126 chr10 + 71433529
SRR8798075.9245 chr10 + 71453919
SRR8798075.18302 chr10 + 72674964
SRR8798075.31611 chr10 + 72674964
SRR8798075.31063 chr10 + 72674964
SRR8798075.13136 chr10 + 73102089
SRR8798075.1633 chr10 + 73202787
SRR8798075.15245 chr10 + 73203288
SRR8798075.54996 chr10 + 73823244
SRR8798075.32003 chr10 + 73823250
SRR8798075.38971 chr10 + 73823250
SRR8798075.18400 chr10 + 75182780
SRR8798075.886 chr10 + 75182811
SRR8798075.18734 chr10 + 75182681
SRR8798075.62498 chr10 + 75184921
SRR8798075.19464 chr10 + 75184923
SRR8798075.60298 chr10 + 75184921
SRR8798075.62487 chr10 + 75184921
SRR8798075.5411 chr10 + 75312393
SRR8798075.44921 chr10 + 75312393
SRR8798075.52699 chr10 + 75312366
SRR8798075.18965 chr10 + 75504826
SRR8798075.57856 chr10 + 75504823
SRR8798075.19528 chr10 + 75586191
SRR8798075.30565 chr10 + 75586191
SRR8798075.4308 chr10 + 75586191
SRR8798075.43775 chr10 + 75895941
SRR8798075.45967 chr10 + 75895941
SRR8798075.59965 chr10 + 75895947
SRR8798075.28893 chr10 + 75895942
SRR8798075.24546 chr10 + 76009591
SRR8798075.5617 chr10 + 76009585
SRR8798075.52921 chr10 + 76009591
SRR8798075.26483 chr10 + 76042817
SRR8798075.13973 chr10 + 76042965
SRR8798075.55251 chr10 + 76042965
SRR8798075.7055 chr10 + 76042821
SRR8798075.23734 chr10 + 76042821
SRR8798075.25796 chr10 + 76042821
SRR8798075.43492 chr10 + 76042413
SRR8798075.49759 chr10 + 76042970
SRR8798075.47848 chr10 + 76042821
SRR8798075.35093 chr10 + 76042821
SRR8798075.22337 chr10 + 76042821
SRR8798075.42908 chr10 + 76042965
SRR8798075.43518 chr10 + 76506688
SRR8798075.34809 chr10 + 77269575
SRR8798075.57291 chr10 + 77269575
SRR8798075.58178 chr10 + 77269575
SRR8798075.57798 chr10 + 77269571
SRR8798075.8908 chr10 + 77269571
SRR8798075.58122 chr10 + 77269575
SRR8798075.9484 chr10 + 77269575
SRR8798075.57380 chr10 + 77269575
SRR8798075.41064 chr10 + 77269552
SRR8798075.61786 chr10 + 77269567
SRR8798075.17629 chr10 + 77598732
SRR8798075.30748 chr10 + 77598732
SRR8798075.33506 chr10 + 77598568
SRR8798075.8541 chr10 + 77617417
SRR8798075.31968 chr10 + 77617414
SRR8798075.35650 chr10 + 77617417
SRR8798075.58273 chr10 + 77617421
SRR8798075.44461 chr10 + 77617417
SRR8798075.7196 chr10 + 77617417
SRR8798075.29454 chr10 + 77645996
SRR8798075.38418 chr10 + 77645990
SRR8798075.38540 chr10 + 77645989
SRR8798075.47107 chr10 + 77645990
SRR8798075.37715 chr10 + 77645990
SRR8798075.40063 chr10 + 77645997
SRR8798075.29781 chr10 + 77985430
SRR8798075.54256 chr10 + 77985438
SRR8798075.61444 chr10 + 78063601
SRR8798075.7265 chr10 + 78079525
SRR8798075.26494 chr10 + 78079525
SRR8798075.60124 chr10 + 78079504
SRR8798075.54132 chr10 + 78079525
SRR8798075.10073 chr10 + 78079525
SRR8798075.55724 chr10 + 78079525
SRR8798075.14017 chr10 + 78079525
SRR8798075.29208 chr10 + 78079525
SRR8798075.61610 chr10 + 78079525
SRR8798075.23329 chr10 + 78393792
SRR8798075.55782 chr10 + 78393792
SRR8798075.8257 chr10 + 78427603
SRR8798075.51087 chr10 + 78427622
SRR8798075.50467 chr10 + 79666761
SRR8798075.12914 chr10 + 79676127
SRR8798075.54685 chr10 + 79711969
SRR8798075.47361 chr10 + 79782630
SRR8798075.49964 chr10 + 79864361
SRR8798075.63526 chr10 + 79864357
SRR8798075.62541 chr10 + 79864435
SRR8798075.56095 chr10 + 79864435
SRR8798075.34008 chr10 + 79864361
SRR8798075.38094 chr10 + 79864361
SRR8798075.40499 chr10 + 79864358
SRR8798075.60023 chr10 + 79864433
SRR8798075.61844 chr10 + 79864435
SRR8798075.2813 chr10 + 79889014
SRR8798075.44671 chr10 + 79889014
SRR8798075.30803 chr10 + 79911139
SRR8798075.40665 chr10 + 79960373
SRR8798075.16444 chr10 + 79967692
SRR8798075.37070 chr10 + 79967692
SRR8798075.55664 chr10 + 79967692
SRR8798075.38961 chr10 + 80116908
SRR8798075.13812 chr10 + 80116908
SRR8798075.26566 chr10 + 80116908
SRR8798075.48260 chr10 + 80130684
SRR8798075.16311 chr10 + 80130470
SRR8798075.56840 chr10 + 80130684
SRR8798075.10089 chr10 + 80130684
SRR8798075.16698 chr10 + 80145813
SRR8798075.62565 chr10 + 80145813
SRR8798075.59386 chr10 + 80157560
SRR8798075.14489 chr10 + 80171647
SRR8798075.57718 chr10 + 80171638
SRR8798075.2814 chr10 + 80241201
SRR8798075.4695 chr10 + 80241201
SRR8798075.43438 chr10 + 80241201
SRR8798075.50508 chr10 + 80241201
SRR8798075.58549 chr10 + 80241201
SRR8798075.50976 chr10 + 80241178
SRR8798075.42551 chr10 + 80243901
SRR8798075.61022 chr10 + 80288389
SRR8798075.12127 chr10 + 80615784
SRR8798075.18129 chr10 + 80615775
SRR8798075.45632 chr10 + 80640741
SRR8798075.31078 chr10 + 80795461
SRR8798075.5525 chr10 + 80795461
SRR8798075.11481 chr10 + 80795454
SRR8798075.60730 chr10 + 80795453
SRR8798075.47717 chr10 + 80804918
SRR8798075.50571 chr10 + 80804922
SRR8798075.56162 chr10 + 80804918
SRR8798075.17945 chr10 + 80804907
SRR8798075.57496 chr10 + 80804923
SRR8798075.63250 chr10 + 80868706
SRR8798075.45621 chr10 + 80932204
SRR8798075.9832 chr10 + 81082220
SRR8798075.15019 chr10 + 81082220
SRR8798075.56845 chr10 + 81082220
SRR8798075.39340 chr10 + 81082212
SRR8798075.18769 chr10 + 81082220
SRR8798075.55917 chr10 + 81083463
SRR8798075.9687 chr10 + 81124344
SRR8798075.40301 chr10 + 81124341
SRR8798075.44894 chr10 + 81124345
SRR8798075.3429 chr10 + 81124341
SRR8798075.49998 chr10 + 81149376
SRR8798075.34841 chr10 + 81182498
SRR8798075.52172 chr10 + 81182498
SRR8798075.37474 chr10 + 81182498
SRR8798075.24971 chr10 + 81181626
SRR8798075.56630 chr10 + 81182498
SRR8798075.24667 chr10 + 81182498
SRR8798075.44974 chr10 + 81181626
SRR8798075.38049 chr10 + 81182498
SRR8798075.39968 chr10 + 81182353
SRR8798075.51861 chr10 + 81182496
SRR8798075.54121 chr10 + 81182498
SRR8798075.41675 chr10 + 81182498
SRR8798075.41643 chr10 + 81182496
SRR8798075.35326 chr10 + 81182498
SRR8798075.44465 chr10 + 81182496
SRR8798075.2584 chr10 + 81192992
SRR8798075.6014 chr10 + 81192999
SRR8798075.34987 chr10 + 81193004
SRR8798075.35457 chr10 + 81319962
SRR8798075.55910 chr10 + 81326238
SRR8798075.61852 chr10 + 81326242
SRR8798075.15422 chr10 + 81326242
SRR8798075.10974 chr10 + 81326233
SRR8798075.19794 chr10 + 81326242
SRR8798075.21201 chr10 + 81326242
SRR8798075.46354 chr10 + 81326220
SRR8798075.30724 chr10 + 81326242
SRR8798075.7787 chr10 + 81326242
SRR8798075.4066 chr10 + 81326238
SRR8798075.1930 chr10 + 81388352
SRR8798075.36485 chr10 + 81388352
SRR8798075.43827 chr10 + 81388352
SRR8798075.49919 chr10 + 81388346
SRR8798075.8868 chr10 + 81480252
SRR8798075.11737 chr10 + 81566164
SRR8798075.15638 chr10 + 81566156
SRR8798075.787 chr10 + 81566161
SRR8798075.52082 chr10 + 81881083
SRR8798075.41631 chr10 + 81992097
SRR8798075.6684 chr10 + 82061583
SRR8798075.13913 chr10 + 82061586
SRR8798075.31057 chr10 + 82111206
SRR8798075.32341 chr10 + 82111225
SRR8798075.46325 chr10 + 82112488
SRR8798075.10232 chr10 + 82111215
SRR8798075.22094 chr10 + 82155122
SRR8798075.26709 chr10 + 82223663
SRR8798075.30774 chr10 + 82379639
SRR8798075.46884 chr10 + 82379643
SRR8798075.7977 chr10 + 82897712
SRR8798075.21191 chr10 + 82955077
SRR8798075.45092 chr10 + 82955077
SRR8798075.57841 chr10 + 82955085
SRR8798075.16398 chr10 + 83003592
SRR8798075.45645 chr10 + 83192117
SRR8798075.773 chr10 + 83195900
SRR8798075.1691 chr10 + 83366530
SRR8798075.2236 chr10 + 83366530
SRR8798075.5078 chr10 + 83366530
SRR8798075.6498 chr10 + 83366118
SRR8798075.12376 chr10 + 83366530
SRR8798075.12418 chr10 + 83366530
SRR8798075.12746 chr10 + 83366530
SRR8798075.15033 chr10 + 83366530
SRR8798075.17297 chr10 + 83366530
SRR8798075.26643 chr10 + 83366982
SRR8798075.28463 chr10 + 83366530
SRR8798075.29948 chr10 + 83366443
SRR8798075.30331 chr10 + 83366530
SRR8798075.33714 chr10 + 83366380
SRR8798075.35479 chr10 + 83367431
SRR8798075.43006 chr10 + 83366466
SRR8798075.44934 chr10 + 83366530
SRR8798075.47191 chr10 + 83367431
SRR8798075.49907 chr10 + 83366461
SRR8798075.50451 chr10 + 83366530
SRR8798075.59333 chr10 + 83366527
SRR8798075.60278 chr10 + 83366119
SRR8798075.60531 chr10 + 83367431
SRR8798075.58376 chr10 + 83366119
SRR8798075.29539 chr10 + 83368834
SRR8798075.37179 chr10 + 83366126
SRR8798075.17056 chr10 + 83366527
SRR8798075.704 chr10 + 83366530
SRR8798075.30923 chr10 + 83368835
SRR8798075.24090 chr10 + 83367969
SRR8798075.51685 chr10 + 83367969
SRR8798075.57589 chr10 + 83367443
SRR8798075.20150 chr10 + 83367425
SRR8798075.60289 chr10 + 83367427
SRR8798075.56937 chr10 + 83367431
SRR8798075.51215 chr10 + 83368831
SRR8798075.43930 chr10 + 83367969
SRR8798075.7815 chr10 + 83368835
SRR8798075.33937 chr10 + 83367963
SRR8798075.31689 chr10 + 83368835
SRR8798075.28571 chr10 + 83367969
SRR8798075.3691 chr10 + 83370337
SRR8798075.41007 chr10 + 83368839
SRR8798075.29969 chr10 + 83368835
SRR8798075.50959 chr10 + 83368835
SRR8798075.26773 chr10 + 83368841
